what,kind,bundleId,bundleVersion,description,time
error,log,,,"DDMS files not found: C:\\Users\\Administrator\\Desktop\\zuixin0307\\Bankapp\\app\\src\\main\\java\\com\\example\\weven\\bankapp\\View\\platform-tools\\adb.exe C:\\Users\\Administrator\\Desktop\\zuixin0307\\Bankapp\\app\\src\\main\\java\\com\\example\\weven\\bankapp\\View\\tools\\hprof-conv.exe C:\\Users\\Administrator\\Desktop\\zuixin0307\\Bankapp\\app\\src\\main\\java\\com\\example\\weven\\bankapp\\View\\tools\\traceview.bat ",1551979096802
started,bundle,com.android.ide.eclipse.traceview,16.0.1.v201112150204-238534,"com.android.ide.eclipse.traceview",1551979096812
started,bundle,org.eclipse.jdt.launching,3.6.1.v20110803_r371,"org.eclipse.jdt.launching",1551979097562
started,bundle,org.eclipse.ltk.core.refactoring,3.5.201.r371_v20110824-0800,"org.eclipse.ltk.core.refactoring",1551979098373
started,bundle,org.eclipse.ltk.ui.refactoring,3.6.0.v20110505-0800,"org.eclipse.ltk.ui.refactoring",1551979099026
started,bundle,org.eclipse.compare.core,3.5.200.I20110208-0800,"org.eclipse.compare.core",1551979099264
opened,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1551979099343
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1551979099536
opened,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1551979099583
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1551979099855
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1551979099930
started,bundle,org.eclipse.jgit,1.1.0.201109151100-r,"org.eclipse.jgit",1551979101053
started,bundle,org.eclipse.egit.core,1.1.0.201109151100-r,"org.eclipse.egit.core",1551979101095
started,bundle,org.eclipse.egit.ui,1.1.0.201109151100-r,"org.eclipse.egit.ui",1551979101148
started,bundle,com.google.gdt.eclipse.designer.hosted,2.4.2.r37x201110181233,"com.google.gdt.eclipse.designer.hosted",1551979101953
started,bundle,org.eclipse.jdt.apt.core,3.3.500.v20110420-1015,"org.eclipse.jdt.apt.core",1551979102005
started,bundle,org.eclipse.jdt.apt.pluggable.core,1.0.400.v20110305-1450,"org.eclipse.jdt.apt.pluggable.core",1551979102012
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1551979111152
activated,view,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.internal.introview",1551979111164
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1551979116647
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1551979126185
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1551979131266
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1551979137288
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1551979139514
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1551979144028
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1551979769152
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1551979771863
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1551979777003
activated,view,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.internal.introview",1551979779473
closed,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1551979779493
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1551979782150
opened,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1551979812264
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1551979812304
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1551979812324
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1551979831777
opened,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1551979844259
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1551979844319
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1551979844329
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1551979860771
opened,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1551979865181
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1551979865241
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1551979865251
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1551979870907
opened,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1551979877747
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1551979877807
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1551979877807
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1551979878797
opened,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1551979888748
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1551979888798
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1551979888808
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1551979889719
opened,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1551979897725
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1551979897775
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1551979897785
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1551979898636
opened,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1551979906396
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1551979906456
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1551979906466
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1551979907166
opened,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1551979930632
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1551979930682
